url,title,years,nb_seasons,nb_episodes,episode_length,synopsis,mark,marks_nb
https://www.imdb.com/title/tt0080306/?ref_=chttvtp_i_164,Yes Minister,1980–1984,3,22,30min,"Le distingué James Hacker a reçu l'excellent poste de Ministre du Cabinet au Département de l'Administration. Enfin, il est en position de pouvoir et peut apporter certaines réformes nécessa...","8,7",16 k
https://www.imdb.com/title/tt0094517/?ref_=chttvtp_i_156,Mystery Science Theater 3000,1988–1999,11,199,1h 32min,"La série a pour sujet un homme, Joel Robinson, ainsi que ses deux robots, Crow et Tom Servo. Ils sont tous trois prisonniers d'une station spatiale appartenant à un méchant scientifique.","8,6",26 k
https://www.imdb.com/title/tt7562112/?ref_=chttvtp_i_155,Pose,2018–2021,3,26,1h,"Dans le monde de 1987, Pose ""examine la juxtaposition de plusieurs segments de la vie et de la société à New York: l'essor de l'univers du luxe, la scène sociale et littéraire du centre-vill...","8,6",33 k
https://www.imdb.com/title/tt0092324/?ref_=chttvtp_i_154,La vipère noire III,1987,,6,3h,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.","8,6",47 k
https://www.imdb.com/title/tt13111040/?ref_=chttvtp_i_151,The Offer,2022,,10,,"Les expériences inédites du producteur oscarisé Albert S. Ruddy lors de la réalisation du film ""Le Parrain"".","8,6",39 k
https://www.imdb.com/title/tt2049116/?ref_=chttvtp_i_152,Gomorra: La serie,2014–2021,5,58,55min,Ciro ne tient pas compte de la tradition dans sa tentative de devenir le prochain patron de son organisation criminelle. La lutte pour le pouvoir interne met sa vie et celle de toute sa fami...,"8,6",44 k
https://www.imdb.com/title/tt0096657/?ref_=chttvtp_i_153,Mr. Bean,1990–1995,,15,25min,"M. Bean a de la difficulté à accomplir les tâches les plus simples de la vie quotidienne, mais sa persévérance et sa débrouillardise lui permettent souvent de trouver des moyens ingénieux de...","8,6",132 k
https://www.imdb.com/title/tt0090509/?ref_=chttvtp_i_149,Le retour de Sherlock Holmes,1986–1988,2,13,,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.","8,7",13 k
https://www.imdb.com/title/tt3398540/?ref_=chttvtp_i_148,Haikyuu!!,2014–2020,4,89,24min,"Déterminé à être devenir comme le joueur vedette du championnat de volleyball Shouyou, un petit garçon surnommé «le petit géant», rejoint le club de volley-ball de son école.","8,7",35 k
https://www.imdb.com/title/tt0096639/?ref_=chttvtp_i_145,Lonesome Dove,1989,,4,6h 24min,"En compagnie de plusieurs autres habitants d'une petite ville du Texas, deux ex-Rangers du Texas retrouvent leur esprit d'aventure en se joignant à un voyage de bétail vers le Territoire du ...","8,7",26 k
https://www.imdb.com/title/tt0094525/?ref_=chttvtp_i_150,Hercule Poirot,1989–2013,13,70,1h 40min,"De l'Angleterre à l'Égypte, l'excentrique et excellent détective Hercule Poirot, accompagné de ses élégants compagnons dignes de confiance, oppose son esprit à un ensemble de supercheries de...","8,6",52 k
https://www.imdb.com/title/tt5290382/?ref_=chttvtp_i_147,Mindhunter,2017–2019,2,19,1h,"À la fin des années 1970, deux agents du FBI sont chargés d'interviewer des tueurs en série pour résoudre des affaires en cours.","8,6",332 k
https://www.imdb.com/title/tt8595766/?ref_=chttvtp_i_146,Yeh Meri Family,2018–2023,2,12,30min,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,"9,0",25 k
https://www.imdb.com/title/tt0088484/?ref_=chttvtp_i_144,La vipère noire II,1986,,6,2h 56min,"Dans la cour Tudor d'Elizabeth I, Lord Edmund Blackadder s'efforce de gagner la faveur de Sa Majesté tout en essayant d'éviter un destin macabre s'il l'offense.","8,6",50 k
https://www.imdb.com/title/tt1733785/?ref_=chttvtp_i_142,The Bridge: Bron/Broen,2011–2018,4,38,1h,"Lorsqu'un corps est retrouvé sur le pont entre le Danemark et la Suède, juste à la frontière, l'inspecteur danois Martin Rohde et la suédoise Saga Norén doivent se partager la juridiction et...","8,6",76 k
https://www.imdb.com/title/tt3322312/?ref_=chttvtp_i_143,Daredevil,2015–2018,3,39,54min,"Avocat aveugle de jour, justicier de nuit, Matt Murdock lutte contre le crime dans la ville de New York sous le nom de Daredevil.","8,6",472 k
https://www.imdb.com/title/tt9140342/?ref_=chttvtp_i_139,It's a Sin,2021,,5,,"Ritchie, Roscoe et Colin débarquent à Londres en 1981. Les jeunes hommes vont commencer leur vie d'adulte avec un virus nouveau qui se propage dans la communauté gay. C'est l'histoire de leu...","8,7",37 k
