episode_length,mark,marks_nb,nb_episodes,nb_seasons,synopsis,title,url,years
22m,8.6,28K,86,7,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",The Venture Bros.,https://www.imdb.com/title/tt0417373/?ref_=chttvtp_i_181,2003–2018
25m,8.5,65K,153,,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",Dragon Ball,https://www.imdb.com/title/tt0088509/?ref_=chttvtp_i_180,1986–1989
28m,8.6,66K,22,2,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",Flight of the Conchords,https://www.imdb.com/title/tt0863046/?ref_=chttvtp_i_187,2007–2009
22m,8.6,51K,52,2,Seven of the most formidable heroes form arguably the most powerful team ever.,Justice League,https://www.imdb.com/title/tt0275137/?ref_=chttvtp_i_179,2001–2004
30m,8.6,101K,51,6,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,What We Do in the Shadows,https://www.imdb.com/title/tt7908628/?ref_=chttvtp_i_178,2019–2024
1h,8.7,14K,122,7,An American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,Homicide: Life on the Street,https://www.imdb.com/title/tt0106028/?ref_=chttvtp_i_177,1993–1999
,8.6,286K,10,,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",The Haunting of Hill House,https://www.imdb.com/title/tt6763664/?ref_=chttvtp_i_176,2018
52m,8.7,14K,50,5,"A very unique and captivating series about the ""bureau des légendes"", the mythical powerhouse within the French Secret Service and its dare devil ghost agents.",The Bureau,https://www.imdb.com/title/tt4063800/?ref_=chttvtp_i_175,2015–2020
,8.6,118K,78,6,"Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",Justified,https://www.imdb.com/title/tt1489428/?ref_=chttvtp_i_172,2010–2015
30m,8.6,34K,334,21,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer s...",QI,https://www.imdb.com/title/tt0380136/?ref_=chttvtp_i_170,2003– 
55m,8.6,202K,56,5,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,Boardwalk Empire,https://www.imdb.com/title/tt0979432/?ref_=chttvtp_i_171,2010–2014
1h,8.7,215K,53,5,A ranching family in Montana faces off against others encroaching on their land.,Yellowstone,https://www.imdb.com/title/tt4236770/?ref_=chttvtp_i_169,2018– 
55m,8.6,124K,25,3,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",The Newsroom,https://www.imdb.com/title/tt1870479/?ref_=chttvtp_i_168,2012–2014
35m,8.6,205K,19,3,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,The Bear,https://www.imdb.com/title/tt14452776/?ref_=chttvtp_i_167,2022– 
,8.7,11K,10,,A series of colorized archive footage of important events during World War II.,Greatest Events of WWII in Colour,https://www.imdb.com/title/tt9103932/?ref_=chttvtp_i_165,2019
30m,8.6,29K,26,3,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",Mr Inbetween,https://www.imdb.com/title/tt7472896/?ref_=chttvtp_i_166,2018–2021
,8.6,76K,8,,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the...",Dopesick,https://www.imdb.com/title/tt9174558/?ref_=chttvtp_i_163,2021
23m,8.6,45K,102,4,Teenage superheroes strive to prove themselves as members of the Justice League.,Young Justice,https://www.imdb.com/title/tt1641384/?ref_=chttvtp_i_162,2010–2023
1h,8.6,66K,27,3,"The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's class...",Anne with an E,https://www.imdb.com/title/tt5421602/?ref_=chttvtp_i_161,2017–2019
30m,8.7,16K,22,3,The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed refo...,Yes Minister,https://www.imdb.com/title/tt0080306/?ref_=chttvtp_i_164,1980–1984
24m,8.7,14K,12,,The crew of a damaged deep space freighter strands on a beautiful but dangerous planet.,Scavengers Reign,https://www.imdb.com/title/tt21056886/?ref_=chttvtp_i_160,2023
24m,8.6,145K,66,4,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his famil...",Demon Slayer: Kimetsu no Yaiba,https://www.imdb.com/title/tt9335498/?ref_=chttvtp_i_159,2019– 
22m,8.6,165K,144,14,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,Archer,https://www.imdb.com/title/tt1486217/?ref_=chttvtp_i_158,2009–2023
1h 10m,8.7,41K,19,,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love wi...,Crash Landing on You,https://www.imdb.com/title/tt10850932/?ref_=chttvtp_i_157,2019–2020
1h,8.6,33K,26,3,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",Pose,https://www.imdb.com/title/tt7562112/?ref_=chttvtp_i_155,2018–2021
3h,8.6,47K,6,,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",Blackadder the Third,https://www.imdb.com/title/tt0092324/?ref_=chttvtp_i_154,1987
25m,8.6,132K,15,,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",Mr. Bean,https://www.imdb.com/title/tt0096657/?ref_=chttvtp_i_153,1990–1995
1h 32m,8.6,26K,199,11,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambo...",Mystery Science Theater 3000,https://www.imdb.com/title/tt0094517/?ref_=chttvtp_i_156,1988–1999
55m,8.6,44K,58,5,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,Gomorrah,https://www.imdb.com/title/tt2049116/?ref_=chttvtp_i_152,2014–2021
1h 40m,8.6,52K,70,13,"Hercule Poirot, a famous Belgian detective, who has an impeccable knack for getting embroiled in a mystery, solves crimes along with Captain Hastings and Scotland Yard Chief Inspector James ...",Poirot,https://www.imdb.com/title/tt0094525/?ref_=chttvtp_i_150,1989–2013
,8.6,39K,10,,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,The Offer,https://www.imdb.com/title/tt13111040/?ref_=chttvtp_i_151,2022
,8.7,13K,13,2,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",The Return of Sherlock Holmes,https://www.imdb.com/title/tt0090509/?ref_=chttvtp_i_149,1986–1988
24m,8.7,35K,89,4,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",Haikyu!!,https://www.imdb.com/title/tt3398540/?ref_=chttvtp_i_148,2014–2020
30m,9.0,25K,12,2,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,Yeh Meri Family,https://www.imdb.com/title/tt8595766/?ref_=chttvtp_i_146,2018–2023
1h,8.6,332K,19,2,"In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters.",Mindhunter,https://www.imdb.com/title/tt5290382/?ref_=chttvtp_i_147,2017–2019
6h 24m,8.7,26K,4,,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,Lonesome Dove,https://www.imdb.com/title/tt0096639/?ref_=chttvtp_i_145,1989
54m,8.6,472K,39,3,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",Daredevil,https://www.imdb.com/title/tt3322312/?ref_=chttvtp_i_143,2015–2018
1h,8.6,76K,38,4,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find ...",The Bridge,https://www.imdb.com/title/tt1733785/?ref_=chttvtp_i_142,2011–2018
11m,8.6,111K,289,10,"A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",Adventure Time,https://www.imdb.com/title/tt1305826/?ref_=chttvtp_i_140,2010–2018
,8.7,37K,5,,The lives of a group of friends living in 1980s London are irreparably changed by the AIDS crisis.,It's a Sin,https://www.imdb.com/title/tt9140342/?ref_=chttvtp_i_139,2021
2h 56m,8.6,50K,6,,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",Blackadder II,https://www.imdb.com/title/tt0088484/?ref_=chttvtp_i_144,1986
